|TABLE_NAME                         |COLUMN_ID|COLUMN_NAME                           |DATA_TYPE      |DATA_LENGTH|DATA_PRECISION|DATA_SCALE|NULLABLE|DATA_DEFAULT                         |
|-----------------------------------|---------|--------------------------------------|---------------|-----------|--------------|----------|--------|-------------------------------------|
|APP_MENUS                          |1        |MENU_ID                               |NUMBER         |22         |              |          |N       |"\"SYSTEM\".\"ISEQ$$_76632\".nextval"|
|APP_MENUS                          |2        |MENU_NAME                             |VARCHAR2       |80         |              |          |Y       |[BLOB[]]                             |
|APP_MENUS                          |3        |PARENT_ID                             |NUMBER         |22         |              |          |Y       |[BLOB[]]                             |
|APP_MENUS                          |4        |MENU_ORDER                            |NUMBER         |22         |              |          |Y       |[BLOB[]]                             |
|APP_MENUS                          |5        |STATUS                                |VARCHAR2       |20         |              |          |Y       |"'ACTIVE'
"                         |
|APP_ROLE_MENUS                     |1        |ROLE_ID                               |NUMBER         |22         |              |          |Y       |[BLOB[]]                             |
|APP_ROLE_MENUS                     |2        |MENU_ID                               |NUMBER         |22         |              |          |Y       |[BLOB[]]                             |
|APP_ROLES                          |1        |ROLE_ID                               |NUMBER         |22         |              |          |N       |"\"SYSTEM\".\"ISEQ$$_76635\".nextval"|
|APP_ROLES                          |2        |ROLE_NAME                             |VARCHAR2       |50         |              |          |Y       |[BLOB[]]                             |
|APP_ROLES                          |3        |DESCRIPTION                           |VARCHAR2       |150        |              |          |Y       |[BLOB[]]                             |
|APP_ROLES                          |4        |STATUS                                |VARCHAR2       |20         |              |          |Y       |"'ACTIVE'
"                         |
|APP_USER_ROLES                     |1        |USER_ID                               |NUMBER         |22         |              |          |Y       |[BLOB[]]                             |
|APP_USER_ROLES                     |2        |ROLE_ID                               |NUMBER         |22         |              |          |Y       |[BLOB[]]                             |
|APP_USERS                          |1        |USER_ID                               |NUMBER         |22         |              |          |N       |"\"SYSTEM\".\"ISEQ$$_76638\".nextval"|
|APP_USERS                          |2        |USERNAME                              |VARCHAR2       |50         |              |          |Y       |[BLOB[]]                             |
|APP_USERS                          |3        |PASSWORD_HASH                         |VARCHAR2       |200        |              |          |Y       |[BLOB[]]                             |
|APP_USERS                          |4        |FULL_NAME                             |VARCHAR2       |120        |              |          |Y       |[BLOB[]]                             |
|APP_USERS                          |5        |STATUS                                |VARCHAR2       |20         |              |          |Y       |"'ACTIVE'"                           |
|APP_USERS                          |6        |CREATED_AT                            |TIMESTAMP(6)   |11         |              |6         |Y       |"SYSTIMESTAMP
   "                  |
|APP_USERS                          |7        |ID_TECNICO                            |NUMBER         |22         |              |          |Y       |[BLOB[]]                             |
|APP_USERS                          |8        |MUST_CHANGE_PASSWORD                  |NUMBER         |22         |1             |0         |N       |"0 "                                 |
|APP_USERS                          |9        |PASSWORD_UPDATED_AT                   |DATE           |7          |              |          |Y       |[BLOB[]]                             |
|APP_USERS                          |10       |PASSWORD_RESET_AT                     |DATE           |7          |              |          |Y       |[BLOB[]]                             |
|APP_USERS                          |11       |PASSWORD_RESET_BY                     |VARCHAR2       |50         |              |          |Y       |[BLOB[]]                             |
|APP_USER_SUPERVISION               |1        |ID_USER_SUPERVISION                   |NUMBER         |22         |              |          |N       |"\"SYSTEM\".\"ISEQ$$_81361\".nextval"|
|APP_USER_SUPERVISION               |2        |SUPERVISOR_ID                         |NUMBER         |22         |              |          |N       |[BLOB[]]                             |
|APP_USER_SUPERVISION               |3        |ABOGADO_ID                            |NUMBER         |22         |              |          |N       |[BLOB[]]                             |
|APP_USER_SUPERVISION               |4        |STATUS                                |VARCHAR2       |20         |              |          |N       |"'ACTIVO' "                          |
