|TABLE_NAME                         |CONSTRAINT_NAME                       |COLUMN_NAME                           |POSITION|
|-----------------------------------|--------------------------------------|--------------------------------------|--------|
|APP_USERS                          |PK_APP_USERS                          |USER_ID                               |1       |
|APP_USER_SUPERVISION               |SYS_C008388                           |ID_USER_SUPERVISION                   |1       |
|AQ$_INTERNET_AGENTS                |SYS_C002815                           |AGENT_NAME                            |1       |
|AQ$_QUEUES                         |AQ$_QUEUES_PRIMARY                    |OID                                   |1       |
|AQ$_QUEUE_TABLES                   |AQ$_QUEUE_TABLES_PRIMARY              |OBJNO                                 |1       |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_PRIMARY                 |OID                                   |1       |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_PRIMARY                 |DESTINATION                           |2       |
|CATALOGO                           |PK_CABECERA                           |ID_CATALOGO                           |1       |
|CATALOGO_ITEM                      |PK_DETALLE                            |ID_CATALOGO_ITEM                      |1       |
|DEPARTAMENTO                       |PK_DEPARTAMENTO                       |ID_DEPARTAMENTO                       |1       |
|DISTRITO                           |PK_DISTRITO                           |ID_DISTRITO                           |1       |
|EXPEDIENTE                         |EXPEDIENTE_PK                         |ID_EXPEDIENTE                         |1       |
|EXPEDIENTE_ANALISIS_ABOGADO        |EXPEDIENTE_ANALISIS_ABOGADO_PK        |ID_EXPEDIENTE_ANALISIS_ABOGADO        |1       |
|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC_PK|ID_EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|1       |
|EXPEDIENTE_ASIGNACION              |EXPEDIENTE_ASIGNACION_PK              |ID_EXPEDIENTE_ASIGNACION              |1       |
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008371                           |ID_EXPEDIENTE_OBSERVACION_EJECUCION   |1       |
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008375                           |ID_EXPEDIENTE_OBSERVACION_VERIFICACION|1       |
|HELP                               |HELP_TOPIC_SEQ                        |TOPIC                                 |1       |
|HELP                               |HELP_TOPIC_SEQ                        |SEQ                                   |2       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |SESSION#                              |1       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |PDBID                                 |2       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |XIDUSN                                |3       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |XIDSLT                                |4       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |XIDSQN                                |5       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |CHUNK                                 |6       |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |SEQUENCE#                             |7       |
|LOGMNR_ATTRCOL$                    |LOGMNR_ATTRCOL$_PK                    |LOGMNR_UID                            |1       |
|LOGMNR_ATTRCOL$                    |LOGMNR_ATTRCOL$_PK                    |OBJ#                                  |2       |
|LOGMNR_ATTRCOL$                    |LOGMNR_ATTRCOL$_PK                    |INTCOL#                               |3       |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_ATTRIBUTE$_PK                  |LOGMNR_UID                            |1       |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_ATTRIBUTE$_PK                  |TOID                                  |2       |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_ATTRIBUTE$_PK                  |VERSION#                              |3       |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_ATTRIBUTE$_PK                  |ATTRIBUTE#                            |4       |
|LOGMNR_CCOL$                       |LOGMNR_CCOL$_PK                       |LOGMNR_UID                            |1       |
|LOGMNR_CCOL$                       |LOGMNR_CCOL$_PK                       |CON#                                  |2       |
|LOGMNR_CCOL$                       |LOGMNR_CCOL$_PK                       |INTCOL#                               |3       |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |LOGMNR_UID                            |1       |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |CON#                                  |2       |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |COMMIT_SCN                            |3       |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |INTCOL#                               |4       |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |LOGMNR_UID                            |1       |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |CON#                                  |2       |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |COMMIT_SCN                            |3       |
|LOGMNRC_DBNAME_UID_MAP             |LOGMNRC_DBNAME_UID_MAP_PK             |GLOBAL_NAME                           |1       |
|LOGMNRC_DBNAME_UID_MAP             |LOGMNRC_DBNAME_UID_MAP_PK             |LOGMNR_MDH                            |2       |
|LOGMNR_CDEF$                       |LOGMNR_CDEF$_PK                       |LOGMNR_UID                            |1       |
|LOGMNR_CDEF$                       |LOGMNR_CDEF$_PK                       |CON#                                  |2       |
|LOGMNRC_GSBA                       |LOGMNRC_GSBA_PK                       |LOGMNR_UID                            |1       |
|LOGMNRC_GSBA                       |LOGMNRC_GSBA_PK                       |AS_OF_SCN                             |2       |
|LOGMNRC_GSII                       |LOGMNRC_GSII_PK                       |LOGMNR_UID                            |1       |
|LOGMNRC_GSII                       |LOGMNRC_GSII_PK                       |OBJ#                                  |2       |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |LOGMNR_UID                            |1       |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |OBJ#                                  |2       |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |OBJV#                                 |3       |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |INTCOL#                               |4       |
|LOGMNRC_GTLO                       |LOGMNRC_GTLO_PK                       |LOGMNR_UID                            |1       |
|LOGMNRC_GTLO                       |LOGMNRC_GTLO_PK                       |KEYOBJ#                               |2       |
