|TABLE_NAME                         |CONSTRAINT_NAME                  |SEARCH_CONDITION                                        |STATUS |
|-----------------------------------|---------------------------------|--------------------------------------------------------|-------|
|APP_MENUS                          |SYS_C008315                      |"\"MENU_ID\" IS NOT NULL"                               |ENABLED|
|APP_ROLES                          |SYS_C008316                      |"\"ROLE_ID\" IS NOT NULL"                               |ENABLED|
|APP_USERS                          |CK_APP_USERS_MUST_CHANGE_PASSWORD|"MUST_CHANGE_PASSWORD IN (0, 1)"                        |ENABLED|
|APP_USERS                          |SYS_C008317                      |"\"USER_ID\" IS NOT NULL"                               |ENABLED|
|APP_USERS                          |SYS_C008393                      |"\"MUST_CHANGE_PASSWORD\" IS NOT NULL"                  |ENABLED|
|APP_USER_SUPERVISION               |CK_APP_USER_SUP_STATUS           |"STATUS IN ('ACTIVO', 'INACTIVO')"                      |ENABLED|
|APP_USER_SUPERVISION               |SYS_C008382                      |"\"ID_USER_SUPERVISION\" IS NOT NULL"                   |ENABLED|
|APP_USER_SUPERVISION               |SYS_C008383                      |"\"SUPERVISOR_ID\" IS NOT NULL"                         |ENABLED|
|APP_USER_SUPERVISION               |SYS_C008384                      |"\"ABOGADO_ID\" IS NOT NULL"                            |ENABLED|
|APP_USER_SUPERVISION               |SYS_C008385                      |"\"STATUS\" IS NOT NULL"                                |ENABLED|
|APP_USER_SUPERVISION               |SYS_C008386                      |"\"CREATED_AT\" IS NOT NULL"                            |ENABLED|
|AQ$_INTERNET_AGENT_PRIVS           |SYS_C002832                      |"\"AGENT_NAME\" IS NOT NULL"                            |ENABLED|
|AQ$_INTERNET_AGENT_PRIVS           |SYS_C002834                      |"\"DB_USERNAME\" IS NOT NULL"                           |ENABLED|
|AQ$_INTERNET_AGENTS                |SYS_C002813                      |"\"AGENT_NAME\" IS NOT NULL"                            |ENABLED|
|AQ$_INTERNET_AGENTS                |SYS_C002814                      |"\"PROTOCOL\" IS NOT NULL"                              |ENABLED|
|AQ$_KEY_SHARD_MAP                  |SYS_C002542                      |"\"QUEUE\" IS NOT NULL"                                 |ENABLED|
|AQ$_KEY_SHARD_MAP                  |SYS_C002543                      |"\"KEY\" IS NOT NULL"                                   |ENABLED|
|AQ$_KEY_SHARD_MAP                  |SYS_C002544                      |"\"SHARD\" IS NOT NULL"                                 |ENABLED|
|AQ$_KEY_SHARD_MAP                  |SYS_C002545                      |"\"DELAY_SHARD\" IS NOT NULL"                           |ENABLED|
|AQ$_QUEUES                         |SYS_C002553                      |"\"EVENTID\" IS NOT NULL"                               |ENABLED|
|AQ$_QUEUES                         |SYS_C002554                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
|AQ$_QUEUES                         |SYS_C002555                      |"\"TABLE_OBJNO\" IS NOT NULL"                           |ENABLED|
|AQ$_QUEUES                         |SYS_C002556                      |"\"USAGE\" IS NOT NULL"                                 |ENABLED|
|AQ$_QUEUES                         |SYS_C002557                      |"\"ENABLE_FLAG\" IS NOT NULL"                           |ENABLED|
|AQ$_QUEUE_TABLES                   |SYS_C002535                      |"\"SCHEMA\" IS NOT NULL"                                |ENABLED|
|AQ$_QUEUE_TABLES                   |SYS_C002536                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
|AQ$_QUEUE_TABLES                   |SYS_C002537                      |"\"UDATA_TYPE\" IS NOT NULL"                            |ENABLED|
|AQ$_QUEUE_TABLES                   |SYS_C002538                      |"\"OBJNO\" IS NOT NULL"                                 |ENABLED|
|AQ$_QUEUE_TABLES                   |SYS_C002539                      |"\"FLAGS\" IS NOT NULL"                                 |ENABLED|
|AQ$_QUEUE_TABLES                   |SYS_C002540                      |"\"SORT_COLS\" IS NOT NULL"                             |ENABLED|
|AQ$_SCHEDULES                      |SYS_C002590                      |"\"DESTINATION\" IS NOT NULL"                           |ENABLED|
|CATALOGO                           |SYS_C008318                      |"\"ID_CATALOGO\" IS NOT NULL"                           |ENABLED|
|CATALOGO                           |SYS_C008319                      |"\"DESCRIPCION\" IS NOT NULL"                           |ENABLED|
|CATALOGO_ITEM                      |SYS_C008322                      |"\"ID_CATALOGO_ITEM\" IS NOT NULL"                      |ENABLED|
|CATALOGO_ITEM                      |SYS_C008323                      |"\"ID_CATALOGO\" IS NOT NULL"                           |ENABLED|
|DEPARTAMENTO                       |SYS_C008326                      |"\"ID_DEPARTAMENTO\" IS NOT NULL"                       |ENABLED|
|DEPARTAMENTO                       |SYS_C008327                      |"\"CODIGO_DEPARTAMENTO_INEI\" IS NOT NULL"              |ENABLED|
|DEPARTAMENTO                       |SYS_C008328                      |"\"DESCRIPCION\" IS NOT NULL"                           |ENABLED|
|DEPARTAMENTO                       |SYS_C008329                      |"\"ACTIVE\" IS NOT NULL"                                |ENABLED|
|DEPARTAMENTO                       |SYS_C008330                      |"\"FECHA_REGISTRO\" IS NOT NULL"                        |ENABLED|
|DEPARTAMENTO                       |SYS_C008331                      |"\"USUARIO_REGISTRO\" IS NOT NULL"                      |ENABLED|
|DISTRITO                           |SYS_C008344                      |"\"ID_DISTRITO\" IS NOT NULL"                           |ENABLED|
|DISTRITO                           |SYS_C008345                      |"\"ID_DEPARTAMENTO\" IS NOT NULL"                       |ENABLED|
|DISTRITO                           |SYS_C008346                      |"\"ID_PROVINCIA\" IS NOT NULL"                          |ENABLED|
|DISTRITO                           |SYS_C008347                      |"\"CODIGO_DISTRITO_INEI\" IS NOT NULL"                  |ENABLED|
|DISTRITO                           |SYS_C008348                      |"\"DESCRIPCION\" IS NOT NULL"                           |ENABLED|
|DISTRITO                           |SYS_C008349                      |"\"ACTIVE\" IS NOT NULL"                                |ENABLED|
|DISTRITO                           |SYS_C008350                      |"\"FECHA_REGISTRO\" IS NOT NULL"                        |ENABLED|
|DISTRITO                           |SYS_C008351                      |"\"USUARIO_REGISTRO\" IS NOT NULL"                      |ENABLED|
|EXPEDIENTE                         |SYS_C008356                      |"\"ID_EXPEDIENTE\" IS NOT NULL"                         |ENABLED|
|EXPEDIENTE                         |SYS_C008357                      |"\"ES_REGISTRO_SDRERC\" IS NOT NULL"                    |ENABLED|
|EXPEDIENTE                         |SYS_C008358                      |"\"NUMERO_TRAMITE_DOCUMENTO\" IS NOT NULL"              |ENABLED|
|EXPEDIENTE                         |SYS_C008359                      |"\"ID_USUARIO_CREA\" IS NOT NULL"                       |ENABLED|
|EXPEDIENTE                         |SYS_C008360                      |"\"FECHA_REGISTRA\" IS NOT NULL"                        |ENABLED|
|EXPEDIENTE                         |SYS_C008376                      |"\"CANAL_RECEPCION\" IS NOT NULL"                       |ENABLED|
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008362                      |"\"ID_EXPEDIENTE_ANALISIS_ABOGADO\" IS NOT NULL"        |ENABLED|
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008406                      |"\"ESTA_INCORPORADO\" IS NOT NULL"                      |ENABLED|
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008407                      |"\"REQUIERE_RECONSTITUCION\" IS NOT NULL"               |ENABLED|
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008408                      |"\"TIENE_LEGITIMIDAD\" IS NOT NULL"                     |ENABLED|
|EXPEDIENTE_ANALISIS_ABOGADO        |SYS_C008409                      |"\"CUMPLE_MEDIOS_PROBATORIOS\" IS NOT NULL"             |ENABLED|
|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|SYS_C008364                      |"\"ID_EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC\" IS NOT NULL"|ENABLED|
|EXPEDIENTE_ASIGNACION              |SYS_C008366                      |"\"ID_EXPEDIENTE_ASIGNACION\" IS NOT NULL"              |ENABLED|
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008368                      |"\"ID_EXPEDIENTE_OBSERVACION_EJECUCION\" IS NOT NULL"   |ENABLED|
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008369                      |"\"ID_EXPEDIENTE\" IS NOT NULL"                         |ENABLED|
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008370                      |"TIENE_OBSERVACION IN (0,1)"                            |ENABLED|
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008372                      |"\"ID_EXPEDIENTE_OBSERVACION_VERIFICACION\" IS NOT NULL"|ENABLED|
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008373                      |"\"ID_EXPEDIENTE\" IS NOT NULL"                         |ENABLED|
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008374                      |"TIENE_OBSERVACION IN (0,1)"                            |ENABLED|
|HELP                               |SYS_C006855                      |"\"TOPIC\" IS NOT NULL"                                 |ENABLED|
|HELP                               |SYS_C006856                      |"\"SEQ\" IS NOT NULL"                                   |ENABLED|
|LOGMNR_ATTRCOL$                    |SYS_C003252                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_ATTRIBUTE$                  |SYS_C003407                      |"\"TOID\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_CCOL$                       |SYS_C003452                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_CONCOL_GG                  |SYS_C003055                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_CONCOL_GG                  |SYS_C003056                      |"\"CON#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_CONCOL_GG                  |SYS_C003058                      |"\"COMMIT_SCN\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_CONCOL_GG                  |SYS_C003060                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_CON_GG                     |SYS_C003015                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_CON_GG                     |SYS_C003016                      |"\"CON#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_CON_GG                     |SYS_C003017                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_CON_GG                     |SYS_C003018                      |"\"COMMIT_SCN\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_CON_GG                     |SYS_C003019                      |"\"BASEOBJ#\" IS NOT NULL"                              |ENABLED|
|LOGMNRC_CON_GG                     |SYS_C003020                      |"\"BASEOBJV#\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_CON_GG                     |SYS_C003021                      |"\"FLAGS\" IS NOT NULL"                                 |ENABLED|
|LOGMNRC_DBNAME_UID_MAP             |SYS_C001749                      |"\"GLOBAL_NAME\" IS NOT NULL"                           |ENABLED|
|LOGMNRC_DBNAME_UID_MAP             |SYS_C001750                      |"\"LOGMNR_MDH\" IS NOT NULL"                            |ENABLED|
|LOGMNR_CDEF$                       |SYS_C003443                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_GSBA                       |SYS_C003156                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_GSBA                       |SYS_C003158                      |"\"AS_OF_SCN\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_GSII                       |SYS_C003143                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_GSII                       |SYS_C003144                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_GSII                       |SYS_C003146                      |"\"BO#\" IS NOT NULL"                                   |ENABLED|
|LOGMNRC_GSII                       |SYS_C003147                      |"\"INDTYPE#\" IS NOT NULL"                              |ENABLED|
|LOGMNRC_GTCS                       |SYS_C002961                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_GTCS                       |SYS_C002963                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_GTCS                       |SYS_C002965                      |"\"OBJV#\" IS NOT NULL"                                 |ENABLED|
|LOGMNRC_GTCS                       |SYS_C002967                      |"\"SEGCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_GTCS                       |SYS_C002969                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_GTCS                       |SYS_C002971                      |"\"COLNAME\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_GTCS                       |SYS_C002973                      |"\"TYPE#\" IS NOT NULL"                                 |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002937                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002938                      |"\"KEYOBJ#\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002939                      |"\"LVLCNT\" IS NOT NULL"                                |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002940                      |"\"BASEOBJ#\" IS NOT NULL"                              |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002941                      |"\"BASEOBJV#\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002942                      |"\"LVL0TYPE#\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002943                      |"\"OWNERNAME\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002944                      |"\"LVL0NAME\" IS NOT NULL"                              |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002945                      |"\"INTCOLS\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_GTLO                       |SYS_C002946                      |"\"START_SCN\" IS NOT NULL"                             |ENABLED|
|LOGMNRC_INDCOL_GG                  |SYS_C003098                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_INDCOL_GG                  |SYS_C003099                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_INDCOL_GG                  |SYS_C003100                      |"\"COMMIT_SCN\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_INDCOL_GG                  |SYS_C003101                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNRC_INDCOL_GG                  |SYS_C003102                      |"\"POS#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_IND_GG                     |SYS_C003074                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRC_IND_GG                     |SYS_C003075                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRC_IND_GG                     |SYS_C003076                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
