|TABLE_NAME                         |CONSTRAINT_NAME                       |CONSTRAINT_TYPE|STATUS  |VALIDATED    |COLUMN_NAME                           |POSITION|
|-----------------------------------|--------------------------------------|---------------|--------|-------------|--------------------------------------|--------|
|APP_MENUS                          |SYS_C008315                           |C              |ENABLED |VALIDATED    |MENU_ID                               |        |
|APP_ROLES                          |SYS_C008316                           |C              |ENABLED |VALIDATED    |ROLE_ID                               |        |
|APP_USERS                          |CK_APP_USERS_MUST_CHANGE_PASSWORD     |C              |ENABLED |VALIDATED    |MUST_CHANGE_PASSWORD                  |        |
|APP_USERS                          |SYS_C008317                           |C              |ENABLED |VALIDATED    |USER_ID                               |        |
|APP_USERS                          |SYS_C008393                           |C              |ENABLED |VALIDATED    |MUST_CHANGE_PASSWORD                  |        |
|APP_USERS                          |PK_APP_USERS                          |P              |ENABLED |VALIDATED    |USER_ID                               |1       |
|APP_USERS                          |FK_APP_USERS_TECNICO                  |R              |ENABLED |VALIDATED    |ID_TECNICO                            |1       |
|APP_USERS                          |UK_APP_USERS_ID_TECNICO               |U              |ENABLED |VALIDATED    |ID_TECNICO                            |1       |
|APP_USER_SUPERVISION               |CK_APP_USER_SUP_STATUS                |C              |ENABLED |VALIDATED    |STATUS                                |        |
|APP_USER_SUPERVISION               |SYS_C008382                           |C              |ENABLED |VALIDATED    |ID_USER_SUPERVISION                   |        |
|APP_USER_SUPERVISION               |SYS_C008383                           |C              |ENABLED |VALIDATED    |SUPERVISOR_ID                         |        |
|APP_USER_SUPERVISION               |SYS_C008384                           |C              |ENABLED |VALIDATED    |ABOGADO_ID                            |        |
|APP_USER_SUPERVISION               |SYS_C008385                           |C              |ENABLED |VALIDATED    |STATUS                                |        |
|APP_USER_SUPERVISION               |SYS_C008386                           |C              |ENABLED |VALIDATED    |CREATED_AT                            |        |
|APP_USER_SUPERVISION               |SYS_C008388                           |P              |ENABLED |VALIDATED    |ID_USER_SUPERVISION                   |1       |
|APP_USER_SUPERVISION               |FK_APP_USER_SUP_ABOGADO               |R              |ENABLED |VALIDATED    |ABOGADO_ID                            |1       |
|APP_USER_SUPERVISION               |FK_APP_USER_SUP_SUPERVISOR            |R              |ENABLED |VALIDATED    |SUPERVISOR_ID                         |1       |
|APP_USER_SUPERVISION               |UK_APP_USER_SUP_ABOGADO               |U              |ENABLED |VALIDATED    |ABOGADO_ID                            |1       |
|APP_USER_SUPERVISION               |UK_APP_USER_SUP_PAIR                  |U              |ENABLED |VALIDATED    |SUPERVISOR_ID                         |1       |
|APP_USER_SUPERVISION               |UK_APP_USER_SUP_PAIR                  |U              |ENABLED |VALIDATED    |ABOGADO_ID                            |2       |
|AQ$_INTERNET_AGENT_PRIVS           |SYS_C002832                           |C              |ENABLED |VALIDATED    |AGENT_NAME                            |        |
|AQ$_INTERNET_AGENT_PRIVS           |SYS_C002834                           |C              |ENABLED |VALIDATED    |DB_USERNAME                           |        |
|AQ$_INTERNET_AGENT_PRIVS           |AGENT_MUST_BE_CREATED                 |R              |ENABLED |VALIDATED    |AGENT_NAME                            |1       |
|AQ$_INTERNET_AGENT_PRIVS           |UNQ_PAIRS                             |U              |ENABLED |VALIDATED    |AGENT_NAME                            |1       |
|AQ$_INTERNET_AGENT_PRIVS           |UNQ_PAIRS                             |U              |ENABLED |VALIDATED    |DB_USERNAME                           |2       |
|AQ$_INTERNET_AGENTS                |SYS_C002813                           |C              |ENABLED |VALIDATED    |AGENT_NAME                            |        |
|AQ$_INTERNET_AGENTS                |SYS_C002814                           |C              |ENABLED |VALIDATED    |PROTOCOL                              |        |
|AQ$_INTERNET_AGENTS                |SYS_C002815                           |P              |ENABLED |VALIDATED    |AGENT_NAME                            |1       |
|AQ$_KEY_SHARD_MAP                  |SYS_C002542                           |C              |ENABLED |VALIDATED    |QUEUE                                 |        |
|AQ$_KEY_SHARD_MAP                  |SYS_C002543                           |C              |ENABLED |VALIDATED    |KEY                                   |        |
|AQ$_KEY_SHARD_MAP                  |SYS_C002544                           |C              |ENABLED |VALIDATED    |SHARD                                 |        |
|AQ$_KEY_SHARD_MAP                  |SYS_C002545                           |C              |ENABLED |VALIDATED    |DELAY_SHARD                           |        |
|AQ$_KEY_SHARD_MAP                  |AQ$_KEY_SHARD_MAP_PK                  |U              |ENABLED |VALIDATED    |QUEUE                                 |1       |
|AQ$_KEY_SHARD_MAP                  |AQ$_KEY_SHARD_MAP_PK                  |U              |ENABLED |VALIDATED    |KEY                                   |2       |
|AQ$_QUEUES                         |SYS_C002553                           |C              |ENABLED |VALIDATED    |EVENTID                               |        |
|AQ$_QUEUES                         |SYS_C002554                           |C              |ENABLED |VALIDATED    |NAME                                  |        |
|AQ$_QUEUES                         |SYS_C002555                           |C              |ENABLED |VALIDATED    |TABLE_OBJNO                           |        |
|AQ$_QUEUES                         |SYS_C002556                           |C              |ENABLED |VALIDATED    |USAGE                                 |        |
|AQ$_QUEUES                         |SYS_C002557                           |C              |ENABLED |VALIDATED    |ENABLE_FLAG                           |        |
|AQ$_QUEUES                         |AQ$_QUEUES_PRIMARY                    |P              |ENABLED |VALIDATED    |OID                                   |1       |
|AQ$_QUEUES                         |AQ$_QUEUES_CHECK                      |U              |ENABLED |VALIDATED    |NAME                                  |1       |
