|TABLE_NAME                         |INDEX_NAME                            |UNIQUENESS|STATUS|INDEX_TYPE           |
|-----------------------------------|--------------------------------------|----------|------|---------------------|
|APP_USERS                          |PK_APP_USERS                          |UNIQUE    |VALID |NORMAL               |
|APP_USERS                          |UK_APP_USERS_ID_TECNICO               |UNIQUE    |VALID |NORMAL               |
|APP_USERS                          |UK_APP_USERS_USERNAME                 |UNIQUE    |VALID |FUNCTION-BASED NORMAL|
|APP_USER_SUPERVISION               |SYS_C008388                           |UNIQUE    |VALID |NORMAL               |
|APP_USER_SUPERVISION               |UK_APP_USER_SUP_ABOGADO               |UNIQUE    |VALID |NORMAL               |
|APP_USER_SUPERVISION               |UK_APP_USER_SUP_PAIR                  |UNIQUE    |VALID |NORMAL               |
|AQ$_INTERNET_AGENT_PRIVS           |UNQ_PAIRS                             |UNIQUE    |VALID |NORMAL               |
|AQ$_INTERNET_AGENTS                |SYS_C002815                           |UNIQUE    |VALID |NORMAL               |
|AQ$_KEY_SHARD_MAP                  |AQ$_KEY_SHARD_MAP_PK                  |UNIQUE    |VALID |NORMAL               |
|AQ$_QUEUES                         |AQ$_QUEUES_CHECK                      |UNIQUE    |VALID |NORMAL               |
|AQ$_QUEUES                         |AQ$_QUEUES_PRIMARY                    |UNIQUE    |VALID |NORMAL               |
|AQ$_QUEUES                         |I1_QUEUES                             |NONUNIQUE |VALID |NORMAL               |
|AQ$_QUEUES                         |SYS_IL0000008987C00012$$              |UNIQUE    |VALID |LOB                  |
|AQ$_QUEUE_TABLES                   |AQ$_QUEUE_TABLES_PRIMARY              |UNIQUE    |VALID |NORMAL               |
|AQ$_QUEUE_TABLES                   |I1_QUEUE_TABLES                       |NONUNIQUE |VALID |NORMAL               |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_CHECK                   |UNIQUE    |VALID |NORMAL               |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_PRIMARY                 |UNIQUE    |VALID |NORMAL               |
|CATALOGO                           |PK_CABECERA                           |UNIQUE    |VALID |NORMAL               |
|CATALOGO                           |SYS_C008321                           |UNIQUE    |VALID |NORMAL               |
|CATALOGO_ITEM                      |PK_DETALLE                            |UNIQUE    |VALID |NORMAL               |
|DEPARTAMENTO                       |PK_DEPARTAMENTO                       |UNIQUE    |VALID |NORMAL               |
|DEPARTAMENTO                       |UQ_DEPARTAMENTO_CODIGO                |UNIQUE    |VALID |NORMAL               |
|DISTRITO                           |PK_DISTRITO                           |UNIQUE    |VALID |NORMAL               |
|DISTRITO                           |UQ_DISTRITO_CODIGO                    |UNIQUE    |VALID |NORMAL               |
|EXPEDIENTE                         |EXPEDIENTE_PK                         |UNIQUE    |VALID |NORMAL               |
|EXPEDIENTE_ANALISIS_ABOGADO        |EXPEDIENTE_ANALISIS_ABOGADO_PK        |UNIQUE    |VALID |NORMAL               |
|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC_PK|UNIQUE    |VALID |NORMAL               |
|EXPEDIENTE_ASIGNACION              |EXPEDIENTE_ASIGNACION_PK              |UNIQUE    |VALID |NORMAL               |
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008371                           |UNIQUE    |VALID |NORMAL               |
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008375                           |UNIQUE    |VALID |NORMAL               |
|HELP                               |HELP_TOPIC_SEQ                        |UNIQUE    |VALID |NORMAL               |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |UNIQUE    |VALID |NORMAL               |
|LOGMNR_AGE_SPILL$                  |SYS_IL0000001478C00008$$              |UNIQUE    |VALID |LOB                  |
|LOGMNR_ATTRCOL$                    |LOGMNR_I1ATTRCOL$                     |NONUNIQUE |N/A   |NORMAL               |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_I1ATTRIBUTE$                   |NONUNIQUE |N/A   |NORMAL               |
|LOGMNR_CCOL$                       |LOGMNR_I1CCOL$                        |NONUNIQUE |N/A   |NORMAL               |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |UNIQUE    |N/A   |NORMAL               |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |UNIQUE    |N/A   |NORMAL               |
|LOGMNRC_CON_GG                     |LOGMNRC_I1CONGG                       |NONUNIQUE |N/A   |NORMAL               |
|LOGMNRC_CON_GG                     |LOGMNRC_I2CONGG                       |NONUNIQUE |N/A   |NORMAL               |
|LOGMNRC_DBNAME_UID_MAP             |LOGMNRC_DBNAME_UID_MAP_PK             |UNIQUE    |VALID |NORMAL               |
|LOGMNR_CDEF$                       |LOGMNR_I1CDEF$                        |NONUNIQUE |N/A   |NORMAL               |
|LOGMNR_CDEF$                       |LOGMNR_I2CDEF$                        |NONUNIQUE |N/A   |NORMAL               |
|LOGMNR_CDEF$                       |LOGMNR_I3CDEF$                        |NONUNIQUE |N/A   |NORMAL               |
|LOGMNRC_GSBA                       |LOGMNRC_GSBA_PK                       |UNIQUE    |N/A   |NORMAL               |
|LOGMNRC_GSII                       |LOGMNRC_GSII_PK                       |UNIQUE    |N/A   |NORMAL               |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |UNIQUE    |N/A   |NORMAL               |
|LOGMNRC_GTCS                       |LOGMNRC_I2GTCS                        |NONUNIQUE |N/A   |NORMAL               |
|LOGMNRC_GTLO                       |LOGMNRC_GTLO_PK                       |UNIQUE    |N/A   |NORMAL               |
|LOGMNRC_GTLO                       |LOGMNRC_I2GTLO                        |NONUNIQUE |N/A   |NORMAL               |
|LOGMNRC_GTLO                       |LOGMNRC_I3GTLO                        |NONUNIQUE |N/A   |NORMAL               |
|LOGMNRC_INDCOL_GG                  |LOGMNRC_INDCOL_GG_PK                  |UNIQUE    |N/A   |NORMAL               |
|LOGMNRC_IND_GG                     |LOGMNRC_IND_GG_PK                     |UNIQUE    |N/A   |NORMAL               |
|LOGMNRC_IND_GG                     |LOGMNRC_I1INDGG                       |NONUNIQUE |N/A   |NORMAL               |
