|TABLE_NAME                         |INDEX_NAME                            |COLUMN_NAME                           |COLUMN_POSITION|DESCEND|
|-----------------------------------|--------------------------------------|--------------------------------------|---------------|-------|
|APP_USERS                          |PK_APP_USERS                          |USER_ID                               |1              |ASC    |
|APP_USERS                          |UK_APP_USERS_ID_TECNICO               |ID_TECNICO                            |1              |ASC    |
|APP_USERS                          |UK_APP_USERS_USERNAME                 |SYS_NC00008$                          |1              |ASC    |
|APP_USER_SUPERVISION               |SYS_C008388                           |ID_USER_SUPERVISION                   |1              |ASC    |
|APP_USER_SUPERVISION               |UK_APP_USER_SUP_ABOGADO               |ABOGADO_ID                            |1              |ASC    |
|APP_USER_SUPERVISION               |UK_APP_USER_SUP_PAIR                  |SUPERVISOR_ID                         |1              |ASC    |
|APP_USER_SUPERVISION               |UK_APP_USER_SUP_PAIR                  |ABOGADO_ID                            |2              |ASC    |
|AQ$_INTERNET_AGENT_PRIVS           |UNQ_PAIRS                             |AGENT_NAME                            |1              |ASC    |
|AQ$_INTERNET_AGENT_PRIVS           |UNQ_PAIRS                             |DB_USERNAME                           |2              |ASC    |
|AQ$_INTERNET_AGENTS                |SYS_C002815                           |AGENT_NAME                            |1              |ASC    |
|AQ$_KEY_SHARD_MAP                  |AQ$_KEY_SHARD_MAP_PK                  |QUEUE                                 |1              |ASC    |
|AQ$_KEY_SHARD_MAP                  |AQ$_KEY_SHARD_MAP_PK                  |KEY                                   |2              |ASC    |
|AQ$_QUEUES                         |AQ$_QUEUES_CHECK                      |NAME                                  |1              |ASC    |
|AQ$_QUEUES                         |AQ$_QUEUES_CHECK                      |TABLE_OBJNO                           |2              |ASC    |
|AQ$_QUEUES                         |AQ$_QUEUES_PRIMARY                    |OID                                   |1              |ASC    |
|AQ$_QUEUES                         |I1_QUEUES                             |NAME                                  |1              |ASC    |
|AQ$_QUEUES                         |I1_QUEUES                             |EVENTID                               |2              |ASC    |
|AQ$_QUEUES                         |I1_QUEUES                             |TABLE_OBJNO                           |3              |ASC    |
|AQ$_QUEUE_TABLES                   |AQ$_QUEUE_TABLES_PRIMARY              |OBJNO                                 |1              |ASC    |
|AQ$_QUEUE_TABLES                   |I1_QUEUE_TABLES                       |OBJNO                                 |1              |ASC    |
|AQ$_QUEUE_TABLES                   |I1_QUEUE_TABLES                       |SCHEMA                                |2              |ASC    |
|AQ$_QUEUE_TABLES                   |I1_QUEUE_TABLES                       |FLAGS                                 |3              |ASC    |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_CHECK                   |JOBNO                                 |1              |ASC    |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_PRIMARY                 |OID                                   |1              |ASC    |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_PRIMARY                 |DESTINATION                           |2              |ASC    |
|CATALOGO                           |PK_CABECERA                           |ID_CATALOGO                           |1              |ASC    |
|CATALOGO                           |SYS_C008321                           |DESCRIPCION                           |1              |ASC    |
|CATALOGO_ITEM                      |PK_DETALLE                            |ID_CATALOGO_ITEM                      |1              |ASC    |
|DEPARTAMENTO                       |PK_DEPARTAMENTO                       |ID_DEPARTAMENTO                       |1              |ASC    |
|DEPARTAMENTO                       |UQ_DEPARTAMENTO_CODIGO                |CODIGO_DEPARTAMENTO_INEI              |1              |ASC    |
|DISTRITO                           |PK_DISTRITO                           |ID_DISTRITO                           |1              |ASC    |
|DISTRITO                           |UQ_DISTRITO_CODIGO                    |CODIGO_DISTRITO_INEI                  |1              |ASC    |
|EXPEDIENTE                         |EXPEDIENTE_PK                         |ID_EXPEDIENTE                         |1              |ASC    |
|EXPEDIENTE_ANALISIS_ABOGADO        |EXPEDIENTE_ANALISIS_ABOGADO_PK        |ID_EXPEDIENTE_ANALISIS_ABOGADO        |1              |ASC    |
|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC_PK|ID_EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|1              |ASC    |
|EXPEDIENTE_ASIGNACION              |EXPEDIENTE_ASIGNACION_PK              |ID_EXPEDIENTE_ASIGNACION              |1              |ASC    |
|EXPEDIENTE_OBSERVACION_EJECUCION   |SYS_C008371                           |ID_EXPEDIENTE_OBSERVACION_EJECUCION   |1              |ASC    |
|EXPEDIENTE_OBSERVACION_VERIFICACION|SYS_C008375                           |ID_EXPEDIENTE_OBSERVACION_VERIFICACION|1              |ASC    |
|HELP                               |HELP_TOPIC_SEQ                        |TOPIC                                 |1              |ASC    |
|HELP                               |HELP_TOPIC_SEQ                        |SEQ                                   |2              |ASC    |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |SESSION#                              |1              |ASC    |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |PDBID                                 |2              |ASC    |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |XIDUSN                                |3              |ASC    |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |XIDSLT                                |4              |ASC    |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |XIDSQN                                |5              |ASC    |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |CHUNK                                 |6              |ASC    |
|LOGMNR_AGE_SPILL$                  |LOGMNR_AGE_SPILL$_PK                  |SEQUENCE#                             |7              |ASC    |
|LOGMNR_ATTRCOL$                    |LOGMNR_I1ATTRCOL$                     |LOGMNR_UID                            |1              |ASC    |
|LOGMNR_ATTRCOL$                    |LOGMNR_I1ATTRCOL$                     |OBJ#                                  |2              |ASC    |
|LOGMNR_ATTRCOL$                    |LOGMNR_I1ATTRCOL$                     |INTCOL#                               |3              |ASC    |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_I1ATTRIBUTE$                   |LOGMNR_UID                            |1              |ASC    |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_I1ATTRIBUTE$                   |TOID                                  |2              |ASC    |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_I1ATTRIBUTE$                   |VERSION#                              |3              |ASC    |
|LOGMNR_ATTRIBUTE$                  |LOGMNR_I1ATTRIBUTE$                   |ATTRIBUTE#                            |4              |ASC    |
|LOGMNR_CCOL$                       |LOGMNR_I1CCOL$                        |LOGMNR_UID                            |1              |ASC    |
|LOGMNR_CCOL$                       |LOGMNR_I1CCOL$                        |CON#                                  |2              |ASC    |
|LOGMNR_CCOL$                       |LOGMNR_I1CCOL$                        |INTCOL#                               |3              |ASC    |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |LOGMNR_UID                            |1              |ASC    |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |CON#                                  |2              |ASC    |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |COMMIT_SCN                            |3              |ASC    |
|LOGMNRC_CONCOL_GG                  |LOGMNRC_CONCOL_GG_PK                  |INTCOL#                               |4              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |LOGMNR_UID                            |1              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |CON#                                  |2              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_CON_GG_PK                     |COMMIT_SCN                            |3              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_I1CONGG                       |LOGMNR_UID                            |1              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_I1CONGG                       |BASEOBJ#                              |2              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_I1CONGG                       |BASEOBJV#                             |3              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_I1CONGG                       |COMMIT_SCN                            |4              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_I2CONGG                       |LOGMNR_UID                            |1              |ASC    |
|LOGMNRC_CON_GG                     |LOGMNRC_I2CONGG                       |DROP_SCN                              |2              |ASC    |
|LOGMNRC_DBNAME_UID_MAP             |LOGMNRC_DBNAME_UID_MAP_PK             |GLOBAL_NAME                           |1              |ASC    |
|LOGMNRC_DBNAME_UID_MAP             |LOGMNRC_DBNAME_UID_MAP_PK             |LOGMNR_MDH                            |2              |ASC    |
|LOGMNR_CDEF$                       |LOGMNR_I1CDEF$                        |LOGMNR_UID                            |1              |ASC    |
|LOGMNR_CDEF$                       |LOGMNR_I1CDEF$                        |CON#                                  |2              |ASC    |
|LOGMNR_CDEF$                       |LOGMNR_I2CDEF$                        |LOGMNR_UID                            |1              |ASC    |
|LOGMNR_CDEF$                       |LOGMNR_I2CDEF$                        |ROBJ#                                 |2              |ASC    |
|LOGMNR_CDEF$                       |LOGMNR_I3CDEF$                        |LOGMNR_UID                            |1              |ASC    |
|LOGMNR_CDEF$                       |LOGMNR_I3CDEF$                        |OBJ#                                  |2              |ASC    |
|LOGMNRC_GSBA                       |LOGMNRC_GSBA_PK                       |LOGMNR_UID                            |1              |ASC    |
|LOGMNRC_GSBA                       |LOGMNRC_GSBA_PK                       |AS_OF_SCN                             |2              |ASC    |
|LOGMNRC_GSII                       |LOGMNRC_GSII_PK                       |LOGMNR_UID                            |1              |ASC    |
|LOGMNRC_GSII                       |LOGMNRC_GSII_PK                       |OBJ#                                  |2              |ASC    |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |LOGMNR_UID                            |1              |ASC    |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |OBJ#                                  |2              |ASC    |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |OBJV#                                 |3              |ASC    |
|LOGMNRC_GTCS                       |LOGMNRC_GTCS_PK                       |INTCOL#                               |4              |ASC    |
|LOGMNRC_GTCS                       |LOGMNRC_I2GTCS                        |LOGMNR_UID                            |1              |ASC    |
|LOGMNRC_GTCS                       |LOGMNRC_I2GTCS                        |OBJ#                                  |2              |ASC    |
|LOGMNRC_GTCS                       |LOGMNRC_I2GTCS                        |OBJV#                                 |3              |ASC    |
|LOGMNRC_GTCS                       |LOGMNRC_I2GTCS                        |SEGCOL#                               |4              |ASC    |
