|SEQUENCE_NAME        |MIN_VALUE|MAX_VALUE                            |INCREMENT_BY|LAST_NUMBER|CACHE_SIZE|CYCLE_FLAG|ORDER_FLAG|
|---------------------|---------|-------------------------------------|------------|-----------|----------|----------|----------|
|ISEQ$$_76630         |1        |9.999.999.999.999.999.999.999.999.999|1           |1          |20        |N         |N         |
|ISEQ$$_76632         |1        |9.999.999.999.999.999.999.999.999.999|1           |1          |20        |N         |N         |
|ISEQ$$_76635         |1        |9.999.999.999.999.999.999.999.999.999|1           |11         |20        |N         |N         |
|ISEQ$$_76638         |1        |9.999.999.999.999.999.999.999.999.999|1           |122        |20        |N         |N         |
|ISEQ$$_76654         |1        |9.999.999.999.999.999.999.999.999.999|1           |1.601      |20        |N         |N         |
|ISEQ$$_76657         |1        |9.999.999.999.999.999.999.999.999.999|1           |81         |20        |N         |N         |
|ISEQ$$_76660         |1        |9.999.999.999.999.999.999.999.999.999|1           |81         |20        |N         |N         |
|ISEQ$$_76663         |1        |9.999.999.999.999.999.999.999.999.999|1           |141        |20        |N         |N         |
|ISEQ$$_76666         |1        |9.999.999.999.999.999.999.999.999.999|1           |41         |20        |N         |N         |
|ISEQ$$_76669         |1        |9.999.999.999.999.999.999.999.999.999|1           |61         |20        |N         |N         |
|ISEQ$$_81361         |1        |9.999.999.999.999.999.999.999.999.999|1           |121        |20        |N         |N         |
|ISEQ$$_84143         |1        |9.999.999.999.999.999.999.999.999.999|1           |21         |20        |N         |N         |
|LOGMNR_DIDS$         |1        |9.999.999.999.999.999.999.999.999.999|1           |1          |0         |N         |Y         |
|LOGMNR_EVOLVE_SEQ$   |1        |9.999.999.999.999.999.999.999.999.999|1           |1          |0         |N         |Y         |
|LOGMNR_SEQ$          |1        |9.999.999.999.999.999.999.999.999.999|1           |1          |0         |N         |Y         |
|LOGMNR_UIDS$         |100      |99.999                               |1           |100        |0         |Y         |Y         |
|MVIEW$_ADVSEQ_GENERIC|1        |4.294.967.295                        |1           |1          |50        |N         |N         |
|MVIEW$_ADVSEQ_ID     |1        |4.294.967.295                        |1           |1          |20        |N         |N         |
|ROLLING_EVENT_SEQ$   |1        |9.999.999.999.999.999.999.999.999.999|1           |1          |0         |N         |Y         |
|SEQ_TECNICO          |1        |9.999.999.999.999.999.999.999.999.999|1           |81         |0         |N         |N         |
