|OBJECT_NAME                        |OBJECT_TYPE|STATUS|CREATED                |LAST_DDL_TIME          |
|-----------------------------------|-----------|------|-----------------------|-----------------------|
|LOGMNR$COL_GG_TABF_PUBLIC          |FUNCTION   |VALID |2021-09-28 04:59:35.000|2021-09-28 06:05:49.000|
|LOGMNR$GSBA_GG_TABF_PUBLIC         |FUNCTION   |VALID |2021-09-28 04:59:35.000|2021-09-28 06:05:49.000|
|LOGMNR$KEY_GG_TABF_PUBLIC          |FUNCTION   |VALID |2021-09-28 04:59:35.000|2021-09-28 06:05:49.000|
|LOGMNR$SEQ_GG_TABF_PUBLIC          |FUNCTION   |VALID |2021-09-28 04:59:35.000|2021-09-28 06:05:49.000|
|LOGMNR$TAB_GG_TABF_PUBLIC          |FUNCTION   |VALID |2021-09-28 04:59:35.000|2021-09-28 06:05:48.000|
|LOGMNR$USER_GG_TABF_PUBLIC         |FUNCTION   |VALID |2021-09-28 04:59:35.000|2021-09-28 06:05:49.000|
|ISEQ$$_76630                       |SEQUENCE   |VALID |2026-04-16 09:00:20.000|2026-05-02 03:32:08.000|
|ISEQ$$_76632                       |SEQUENCE   |VALID |2026-04-16 09:16:48.000|2026-05-02 03:31:16.000|
|ISEQ$$_76635                       |SEQUENCE   |VALID |2026-04-16 09:21:30.000|2026-05-02 03:31:21.000|
|ISEQ$$_76638                       |SEQUENCE   |VALID |2026-04-16 09:22:06.000|2026-05-02 03:31:25.000|
|ISEQ$$_76654                       |SEQUENCE   |VALID |2026-04-16 09:24:32.000|2026-05-02 03:31:32.000|
|ISEQ$$_76657                       |SEQUENCE   |VALID |2026-04-16 09:25:14.000|2026-05-02 03:31:38.000|
|ISEQ$$_76660                       |SEQUENCE   |VALID |2026-04-16 09:25:31.000|2026-05-02 03:31:42.000|
|ISEQ$$_76663                       |SEQUENCE   |VALID |2026-04-16 09:25:48.000|2026-05-02 03:31:47.000|
|ISEQ$$_76666                       |SEQUENCE   |VALID |2026-04-16 09:26:01.000|2026-05-02 03:31:50.000|
|ISEQ$$_76669                       |SEQUENCE   |VALID |2026-04-16 09:26:16.000|2026-05-02 03:31:55.000|
|ISEQ$$_81361                       |SEQUENCE   |VALID |2026-05-01 11:15:10.000|2026-05-02 03:31:29.000|
|ISEQ$$_84143                       |SEQUENCE   |VALID |2026-05-18 14:35:52.000|2026-05-18 14:35:52.000|
|LOGMNR_DIDS$                       |SEQUENCE   |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|LOGMNR_EVOLVE_SEQ$                 |SEQUENCE   |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|LOGMNR_SEQ$                        |SEQUENCE   |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|LOGMNR_UIDS$                       |SEQUENCE   |VALID |2021-09-28 04:32:48.000|2021-09-28 04:32:48.000|
|MVIEW$_ADVSEQ_GENERIC              |SEQUENCE   |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADVSEQ_ID                   |SEQUENCE   |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|ROLLING_EVENT_SEQ$                 |SEQUENCE   |VALID |2021-09-28 04:32:53.000|2021-09-28 04:32:53.000|
|SEQ_TECNICO                        |SEQUENCE   |VALID |2026-05-01 10:35:42.000|2026-05-02 03:32:43.000|
|APP_MENUS                          |TABLE      |VALID |2026-04-16 09:16:48.000|2026-05-02 03:31:16.000|
|APP_ROLE_MENUS                     |TABLE      |VALID |2026-04-16 09:17:29.000|2026-04-16 09:17:29.000|
|APP_ROLES                          |TABLE      |VALID |2026-04-16 09:21:30.000|2026-05-02 03:31:21.000|
|APP_USER_ROLES                     |TABLE      |VALID |2026-04-16 09:21:48.000|2026-04-16 09:21:48.000|
|APP_USERS                          |TABLE      |VALID |2026-04-16 09:22:06.000|2026-05-03 11:13:02.000|
|APP_USER_SUPERVISION               |TABLE      |VALID |2026-05-01 11:15:09.000|2026-05-02 03:31:29.000|
|AQ$_INTERNET_AGENT_PRIVS           |TABLE      |VALID |2021-09-28 04:39:51.000|2021-09-28 04:39:51.000|
|AQ$_INTERNET_AGENTS                |TABLE      |VALID |2021-09-28 04:39:51.000|2021-09-28 04:39:51.000|
|AQ$_KEY_SHARD_MAP                  |TABLE      |VALID |2021-09-28 04:39:47.000|2021-09-28 04:39:47.000|
|AQ$_QUEUES                         |TABLE      |VALID |2021-09-28 04:39:47.000|2021-09-28 04:42:54.000|
|AQ$_QUEUE_TABLES                   |TABLE      |VALID |2021-09-28 04:39:47.000|2021-09-28 04:39:47.000|
|AQ$_SCHEDULES                      |TABLE      |VALID |2021-09-28 04:39:48.000|2021-09-28 04:39:48.000|
|CATALOGO                           |TABLE      |VALID |2026-04-16 09:22:30.000|2026-04-16 09:22:30.000|
|CATALOGO_ITEM                      |TABLE      |VALID |2026-04-16 09:23:29.000|2026-05-22 05:56:00.000|
|DEPARTAMENTO                       |TABLE      |VALID |2026-04-16 09:23:45.000|2026-04-16 09:23:45.000|
|DISTRITO                           |TABLE      |VALID |2026-04-16 09:24:12.000|2026-04-16 09:24:12.000|
|EXPEDIENTE                         |TABLE      |VALID |2026-04-16 09:24:32.000|2026-05-15 11:56:41.000|
|EXPEDIENTE_ANALISIS_ABOGADO        |TABLE      |VALID |2026-04-16 09:25:14.000|2026-05-26 16:24:29.000|
|EXPEDIENTE_ANALISIS_ABOGADO_DET_DOC|TABLE      |VALID |2026-04-16 09:25:31.000|2026-05-02 03:31:42.000|
|EXPEDIENTE_ASIGNACION              |TABLE      |VALID |2026-04-16 09:25:48.000|2026-05-02 06:46:36.000|
|EXPEDIENTE_OBSERVACION_EJECUCION   |TABLE      |VALID |2026-04-16 09:26:01.000|2026-05-02 03:31:50.000|
|EXPEDIENTE_OBSERVACION_VERIFICACION|TABLE      |VALID |2026-04-16 09:26:16.000|2026-05-02 03:31:55.000|
|HELP                               |TABLE      |VALID |2021-09-28 06:41:09.000|2021-09-28 06:41:11.000|
|LOGMNR_AGE_SPILL$                  |TABLE      |VALID |2021-09-28 04:32:49.000|2021-09-28 04:32:49.000|
|LOGMNR_ATTRCOL$                    |TABLE      |VALID |2021-09-28 04:39:53.000|2021-09-28 04:39:53.000|
|LOGMNR_ATTRIBUTE$                  |TABLE      |VALID |2021-09-28 04:39:54.000|2021-09-28 04:39:54.000|
|LOGMNR_CCOL$                       |TABLE      |VALID |2021-09-28 04:39:55.000|2021-09-28 04:39:55.000|
