|NAME                      |TYPE    |REFERENCED_NAME             |REFERENCED_TYPE|
|--------------------------|--------|----------------------------|---------------|
|AQ$_QUEUES                |TABLE   |AQ$_AGENT                   |TYPE           |
|AQ$_QUEUES                |TABLE   |AQ$_SUBSCRIBERS             |TYPE           |
|AQ$_QUEUES                |TABLE   |STANDARD                    |PACKAGE        |
|CATALOG                   |SYNONYM |CATALOG                     |VIEW           |
|COL                       |SYNONYM |COL                         |VIEW           |
|LOGMNR$COL_GG_REC         |TYPE    |STANDARD                    |PACKAGE        |
|LOGMNR$COL_GG_RECS        |TYPE    |LOGMNR$COL_GG_REC           |TYPE           |
|LOGMNR$COL_GG_RECS        |TYPE    |STANDARD                    |PACKAGE        |
|LOGMNR$COL_GG_TABF_PUBLIC |FUNCTION|LOGMNR$COL_GG_RECS          |TYPE           |
|LOGMNR$COL_GG_TABF_PUBLIC |FUNCTION|LOGMNR_DICT_CACHE           |PACKAGE        |
|LOGMNR$COL_GG_TABF_PUBLIC |FUNCTION|PLITBLM                     |SYNONYM        |
|LOGMNR$COL_GG_TABF_PUBLIC |FUNCTION|STANDARD                    |PACKAGE        |
|LOGMNR$COL_GG_TABF_PUBLIC |FUNCTION|SYS_STUB_FOR_PURITY_ANALYSIS|PACKAGE        |
|LOGMNR$GSBA_GG_REC        |TYPE    |STANDARD                    |PACKAGE        |
|LOGMNR$GSBA_GG_RECS       |TYPE    |LOGMNR$GSBA_GG_REC          |TYPE           |
|LOGMNR$GSBA_GG_RECS       |TYPE    |STANDARD                    |PACKAGE        |
|LOGMNR$GSBA_GG_TABF_PUBLIC|FUNCTION|LOGMNR_DICT_CACHE           |PACKAGE        |
|LOGMNR$GSBA_GG_TABF_PUBLIC|FUNCTION|LOGMNR$GSBA_GG_RECS         |TYPE           |
|LOGMNR$GSBA_GG_TABF_PUBLIC|FUNCTION|PLITBLM                     |SYNONYM        |
|LOGMNR$GSBA_GG_TABF_PUBLIC|FUNCTION|STANDARD                    |PACKAGE        |
|LOGMNR$GSBA_GG_TABF_PUBLIC|FUNCTION|SYS_STUB_FOR_PURITY_ANALYSIS|PACKAGE        |
|LOGMNR$KEY_GG_REC         |TYPE    |STANDARD                    |PACKAGE        |
|LOGMNR$KEY_GG_RECS        |TYPE    |LOGMNR$KEY_GG_REC           |TYPE           |
|LOGMNR$KEY_GG_RECS        |TYPE    |STANDARD                    |PACKAGE        |
|LOGMNR$KEY_GG_TABF_PUBLIC |FUNCTION|LOGMNR_DICT_CACHE           |PACKAGE        |
|LOGMNR$KEY_GG_TABF_PUBLIC |FUNCTION|LOGMNR$KEY_GG_RECS          |TYPE           |
|LOGMNR$KEY_GG_TABF_PUBLIC |FUNCTION|PLITBLM                     |SYNONYM        |
|LOGMNR$KEY_GG_TABF_PUBLIC |FUNCTION|STANDARD                    |PACKAGE        |
|LOGMNR$KEY_GG_TABF_PUBLIC |FUNCTION|SYS_STUB_FOR_PURITY_ANALYSIS|PACKAGE        |
|LOGMNR$SEQ_GG_REC         |TYPE    |STANDARD                    |PACKAGE        |
|LOGMNR$SEQ_GG_RECS        |TYPE    |LOGMNR$SEQ_GG_REC           |TYPE           |
