|ID_CATALOGO|CATALOGO                       |ID_CATALOGO_ITEM|ITEM                                                 |ACTIVE|
|-----------|-------------------------------|----------------|-----------------------------------------------------|------|
|1          |Tipo de Solicitud              |10              |PARTE                                                |1     |
|1          |Tipo de Solicitud              |11              |OFICIO                                               |1     |
|2          |Tipo de Documento              |13              |SOLICITUD                                            |1     |
|2          |Tipo de Documento              |14              |CARTA                                                |1     |
|2          |Tipo de Documento              |15              |INFORME                                              |1     |
|2          |Tipo de Documento              |16              |OFICIO                                               |1     |
|2          |Tipo de Documento              |17              |RESOLUCIÓN                                           |1     |
|2          |Tipo de Documento              |18              |HOJA DE ENVÍO                                        |1     |
|2          |Tipo de Documento              |19              |MEMORANDO                                            |1     |
|2          |Tipo de Documento              |20              |HOJA DE ELEVACIÓN                                    |1     |
|2          |Tipo de Documento              |21              |PROVEIDO                                             |1     |
|2          |Tipo de Documento              |96              |PEDIDO                                               |1     |
|2          |Tipo de Documento              |97              |FORMATO                                              |1     |
|2          |Tipo de Documento              |98              |EXPEDIENTE                                           |1     |
|2          |Tipo de Documento              |99              |AYUDA MEMORIA                                        |1     |
|2          |Tipo de Documento              |100             |INFORME TÉCNICO                                      |1     |
|3          |Tipo de Procedimiento Registral|22              |RECT. ADM.                                           |1     |
|3          |Tipo de Procedimiento Registral|23              |TÍTULO DE NACIONALIDAD                               |1     |
|3          |Tipo de Procedimiento Registral|24              |CANCELACIÓN                                          |1     |
|3          |Tipo de Procedimiento Registral|25              |RECONSIDERACIÓN                                      |1     |
|3          |Tipo de Procedimiento Registral|26              |RECONSTITUCIÓN                                       |1     |
|3          |Tipo de Procedimiento Registral|27              |APELACIÓN                                            |1     |
|3          |Tipo de Procedimiento Registral|28              |ACTUALIZACIÓN DE DATOS                               |1     |
|4          |Tipo Acta                      |29              |NACIMIENTO                                           |1     |
|4          |Tipo Acta                      |30              |MATRIMONIO                                           |1     |
|4          |Tipo Acta                      |31              |DEFUNCIÓN                                            |1     |
|5          |Estado del trámite             |8               |Activo                                               |0     |
|5          |Estado del trámite             |9               |Inactivo                                             |0     |
|5          |Estado del trámite             |56              |Registrado                                           |1     |
|5          |Estado del trámite             |57              |Asignado                                             |1     |
|5          |Estado del trámite             |58              |Recibido                                             |1     |
|5          |Estado del trámite             |59              |Atendido                                             |1     |
|5          |Estado del trámite             |87              |Verificado                                           |1     |
|5          |Estado del trámite             |88              |Asignado a ejecución                                 |1     |
|5          |Estado del trámite             |89              |Ejecutado                                            |1     |
|5          |Estado del trámite             |90              |Asignado a notificación                              |1     |
|5          |Estado del trámite             |91              |Notificado                                           |1     |
|5          |Estado del trámite             |105             |No corresponde                                       |1     |
|5          |Estado del trámite             |106             |Archivado                                            |1     |
|5          |Estado del trámite             |108             |Firmado                                              |1     |
|5          |Estado del trámite             |109             |En proyecto                                          |1     |
|6          |Grupo Familiar                 |32              |GRUPO FAMILIAR                                       |1     |
|6          |Grupo Familiar                 |33              |SIN GRUPO FAMILIAR                                   |1     |
|7          |Grupo de Parentesco            |34              |PADRE                                                |1     |
|7          |Grupo de Parentesco            |35              |MADRE                                                |1     |
|7          |Grupo de Parentesco            |36              |HIJO(A)                                              |1     |
|7          |Grupo de Parentesco            |37              |ABUELO(A)                                            |1     |
|7          |Grupo de Parentesco            |38              |HERMANO(A)                                           |1     |
|7          |Grupo de Parentesco            |39              |NIETO(A)                                             |1     |
|7          |Grupo de Parentesco            |40              |BISABUELO(A)                                         |1     |
|7          |Grupo de Parentesco            |41              |TIO(A)                                               |1     |
|7          |Grupo de Parentesco            |42              |SOBRINO(A)                                           |1     |
|7          |Grupo de Parentesco            |43              |BIZNIETO(A)                                          |1     |
|7          |Grupo de Parentesco            |44              |TIO(A) ABUELO(A)                                     |1     |
|7          |Grupo de Parentesco            |45              |PRIMO(A)                                             |1     |
|7          |Grupo de Parentesco            |46              |SOBRINO(A) NIETO(A)                                  |1     |
|8          |Direccion domiciliaria         |47              |DECLARADA EN SOLICITUD                               |1     |
|8          |Direccion domiciliaria         |48              |REGISTRADA EN EL SIO                                 |1     |
