|ID_EXPEDIENTE|NUM_EXPEDIENTE        |ESTADO|ESTADO_DESCRIPCION|
|-------------|----------------------|------|------------------|
|1.559        |SDRERC_EXP_2026_000147|56    |Registrado        |
|1.560        |SDRERC_EXP_2026_000148|56    |Registrado        |
|1.561        |SDRERC_EXP_2026_000149|56    |Registrado        |
|1.562        |SDRERC_EXP_2026_000150|56    |Registrado        |
|1.563        |SDRERC_EXP_2026_000151|56    |Registrado        |
|1.564        |SDRERC_EXP_2026_000152|56    |Registrado        |
|1.565        |SDRERC_EXP_2026_000153|56    |Registrado        |
|1.566        |SDRERC_EXP_2026_000154|56    |Registrado        |
|1.567        |SDRERC_EXP_2026_000155|56    |Registrado        |
|1.568        |SDRERC_EXP_2026_000156|56    |Registrado        |
|1.569        |SDRERC_EXP_2026_000157|56    |Registrado        |
|1.570        |SDRERC_EXP_2026_000158|56    |Registrado        |
|1.571        |SDRERC_EXP_2026_000159|56    |Registrado        |
|1.572        |SDRERC_EXP_2026_000160|56    |Registrado        |
|1.573        |SDRERC_EXP_2026_000161|56    |Registrado        |
|1.574        |SDRERC_EXP_2026_000162|56    |Registrado        |
|1.575        |SDRERC_EXP_2026_000163|56    |Registrado        |
|1.576        |SDRERC_EXP_2026_000164|56    |Registrado        |
|1.577        |SDRERC_EXP_2026_000165|56    |Registrado        |
|1.578        |SDRERC_EXP_2026_000166|56    |Registrado        |
|1.579        |SDRERC_EXP_2026_000167|56    |Registrado        |
|1.580        |SDRERC_EXP_2026_000168|56    |Registrado        |
|1.581        |SDRERC_EXP_2026_000169|56    |Registrado        |
|1.582        |SDRERC_EXP_2026_000170|56    |Registrado        |
|1.583        |SDRERC_EXP_2026_000171|56    |Registrado        |
|1.584        |SDRERC_EXP_2026_000172|56    |Registrado        |
|1.585        |SDRERC_EXP_2026_000173|56    |Registrado        |
|1.586        |SDRERC_EXP_2026_000174|56    |Registrado        |
|1.587        |SDRERC_EXP_2026_000175|56    |Registrado        |
|1.588        |SDRERC_EXP_2026_000176|56    |Registrado        |
|1.589        |SDRERC_EXP_2026_000177|56    |Registrado        |
|1.521        |SDRERC_EXP_2026_000110|56    |Registrado        |
|1.522        |SDRERC_EXP_2026_000111|56    |Registrado        |
|1.523        |SDRERC_EXP_2026_000112|56    |Registrado        |
|1.524        |SDRERC_EXP_2026_000113|56    |Registrado        |
|1.525        |SDRERC_EXP_2026_000114|56    |Registrado        |
|1.526        |SDRERC_EXP_2026_000115|56    |Registrado        |
|1.527        |SDRERC_EXP_2026_000116|56    |Registrado        |
|1.528        |SDRERC_EXP_2026_000117|56    |Registrado        |
|1.529        |SDRERC_EXP_2026_000118|56    |Registrado        |
|1.530        |SDRERC_EXP_2026_000119|56    |Registrado        |
|1.531        |SDRERC_EXP_2026_000120|56    |Registrado        |
|1.532        |SDRERC_EXP_2026_000121|56    |Registrado        |
|1.533        |SDRERC_EXP_2026_000122|56    |Registrado        |
|1.534        |SDRERC_EXP_2026_000123|56    |Registrado        |
|1.535        |SDRERC_EXP_2026_000124|56    |Registrado        |
|1.536        |SDRERC_EXP_2026_000125|56    |Registrado        |
|1.537        |SDRERC_EXP_2026_000126|56    |Registrado        |
|1.538        |SDRERC_EXP_2026_000127|56    |Registrado        |
|1.539        |SDRERC_EXP_2026_000128|56    |Registrado        |
|1.540        |SDRERC_EXP_2026_000129|56    |Registrado        |
|1.541        |SDRERC_EXP_2026_000130|56    |Registrado        |
|1.542        |SDRERC_EXP_2026_000131|56    |Registrado        |
|1.543        |SDRERC_EXP_2026_000132|56    |Registrado        |
|1.544        |SDRERC_EXP_2026_000133|56    |Registrado        |
|1.545        |SDRERC_EXP_2026_000134|56    |Registrado        |
|1.546        |SDRERC_EXP_2026_000135|56    |Registrado        |
|1.547        |SDRERC_EXP_2026_000136|56    |Registrado        |
|1.548        |SDRERC_EXP_2026_000137|56    |Registrado        |
|1.549        |SDRERC_EXP_2026_000138|56    |Registrado        |
|1.550        |SDRERC_EXP_2026_000139|56    |Registrado        |
|1.551        |SDRERC_EXP_2026_000140|56    |Registrado        |
|1.553        |SDRERC_EXP_2026_000142|56    |Registrado        |
|1.554        |SDRERC_EXP_2026_000143|56    |Registrado        |
|1.555        |SDRERC_EXP_2026_000144|56    |Registrado        |
|1.556        |                      |56    |Registrado        |
|1.557        |SDRERC_EXP_2026_000145|56    |Registrado        |
|1.558        |SDRERC_EXP_2026_000146|56    |Registrado        |
|1.409        |SDRERC_EXP_2026_000003|56    |Registrado        |
|1.410        |SDRERC_EXP_2026_000004|56    |Registrado        |
|1.411        |SDRERC_EXP_2026_000005|56    |Registrado        |
|1.412        |SDRERC_EXP_2026_000006|56    |Registrado        |
|1.413        |SDRERC_EXP_2026_000007|56    |Registrado        |
|1.414        |                      |56    |Registrado        |
|1.415        |SDRERC_EXP_2026_000008|56    |Registrado        |
|1.416        |SDRERC_EXP_2026_000009|56    |Registrado        |
|1.417        |SDRERC_EXP_2026_000010|56    |Registrado        |
|1.418        |SDRERC_EXP_2026_000011|56    |Registrado        |
|1.419        |SDRERC_EXP_2026_000012|56    |Registrado        |
|1.420        |SDRERC_EXP_2026_000013|56    |Registrado        |
|1.421        |SDRERC_EXP_2026_000014|56    |Registrado        |
|1.422        |SDRERC_EXP_2026_000015|56    |Registrado        |
|1.423        |SDRERC_EXP_2026_000016|56    |Registrado        |
|1.424        |SDRERC_EXP_2026_000017|56    |Registrado        |
|1.425        |SDRERC_EXP_2026_000018|56    |Registrado        |
|1.426        |SDRERC_EXP_2026_000019|56    |Registrado        |
|1.427        |SDRERC_EXP_2026_000020|56    |Registrado        |
|1.428        |SDRERC_EXP_2026_000021|56    |Registrado        |
|1.429        |SDRERC_EXP_2026_000022|56    |Registrado        |
|1.430        |SDRERC_EXP_2026_000023|56    |Registrado        |
|1.431        |SDRERC_EXP_2026_000024|56    |Registrado        |
|1.432        |SDRERC_EXP_2026_000025|56    |Registrado        |
|1.433        |SDRERC_EXP_2026_000026|56    |Registrado        |
|1.434        |SDRERC_EXP_2026_000027|56    |Registrado        |
|1.435        |SDRERC_EXP_2026_000028|56    |Registrado        |
|1.436        |SDRERC_EXP_2026_000029|56    |Registrado        |
|1.437        |SDRERC_EXP_2026_000030|56    |Registrado        |
|1.438        |SDRERC_EXP_2026_000031|56    |Registrado        |
|1.439        |SDRERC_EXP_2026_000032|56    |Registrado        |
|1.408        |SDRERC_EXP_2026_000002|56    |Registrado        |
|1.440        |SDRERC_EXP_2026_000033|56    |Registrado        |
|1.441        |SDRERC_EXP_2026_000034|56    |Registrado        |
|1.442        |SDRERC_EXP_2026_000035|56    |Registrado        |
|1.443        |SDRERC_EXP_2026_000036|56    |Registrado        |
|1.444        |SDRERC_EXP_2026_000037|56    |Registrado        |
|1.445        |SDRERC_EXP_2026_000038|56    |Registrado        |
|1.446        |SDRERC_EXP_2026_000039|56    |Registrado        |
|1.447        |SDRERC_EXP_2026_000040|56    |Registrado        |
|1.448        |SDRERC_EXP_2026_000041|56    |Registrado        |
|1.449        |SDRERC_EXP_2026_000042|56    |Registrado        |
